start in seconds	duration in seconds	annotations
0	6.76	"[""Transcript:: Hier ist das erste deutsche Fernsehen mit der Tagesschau.""]"
6.76	12.680000000000001	"[""Transcript:: Heute im Studio Susanne Daugner. Guten Abend meine Damen und Herren,""]"
19.44	5.48	"[""Transcript:: ich begr\u00fc\u00dfe Sie zur Tagesschau. Deutschland feiert seine Fu\u00dfball-Weltmeister. Die""]"
24.92	0.0799999999999983	"[""Transcript:: Nationalmannschaft ist zur\u00fcck und brachte heute den vierten Stern nach Hause. Ich begr\u00fc\u00dfe Sie zur Tagesschau. Deutschland feiert seine Fu\u00dfball-Weltmeister.""]"
25	4.0	"[""Transcript:: Die Nationalmannschaft ist zur\u00fcck und brachte heute den 4. Stern nach Hause.""]"
29	8.0	"[""Transcript:: Zwei Tage nach dem Triumph \u00fcber Argentinien haben Hunderttausende die Mannschaft mit einem rauschenden Empfang in Berlin begr\u00fc\u00dft.""]"
37	6.0	"[""Transcript:: Mehr dazu sp\u00e4ter in der Sendung und in einem WM Extra gleich nach dieser Tagesschau.""]"
43	2.0	"[""Transcript:: Die M-Extra gleich nach dieser Tagesschau.""]"
48	3.0	"[""Transcript:: Der Versuch, die Gewalt im Nahen Osten zu stoppen, ist heute schon nach wenigen Stunden gescheitert.""]"
51	3.0	"[""Transcript:: Israel hatte sich zu einer Feuerpause bereit erkl\u00e4rt""]"
54	3.0	"[""Transcript:: und den Beschuss des Gazastreifens eingestellt.""]"
57	4.0	"[""Transcript:: Die radikal-islamische Hamas feuerte aber weiter Raketen ab.""]"
61	4.640000000000001	"[""Transcript:: Daraufhin flog auch die israelische Luftwaffe erneut Angriffe. Bei dem Beschuss""]"
65.64	5.400000000000006	"[""Transcript:: aus dem Gazastreifen ist heute zum ersten Mal ein Israeli get\u00f6tet worden. Auf pal\u00e4stinensischer""]"
71.04	5.279999999999987	"[""Transcript:: Seite kamen bisher nach Angaben aus Gaza mindestens 180 Menschen ums Leben.""]"
76.32	6.52000000000001	"[""Transcript:: Der Tag hatte so \u00fcberraschend begonnen. Pl\u00f6tzlich Ruhe, die Waffen sollten ab neun Uhr morgens""]"
82.84	4.759999999999991	"[""Transcript:: schweigen. Israel sagte Ja zur Waffenruhe, die von \u00c4gypten vorgeschlagen worden war.""]"
87.6	6.240000000000009	"[""Transcript:: In dieser Atmosph\u00e4re startete Bundesau\u00dfenminister Steinmeier seine diplomatische Mission.""]"
